Year,Week,School,Conference,TotalPenalties,TotalPenaltiesYards,Opponent,HomeAway,Season
2023,1,Kent State,Mid-American,4,30,UCF,away,regular
2023,1,Louisiana,Sun Belt,2,20,Northwestern State,home,regular
2023,1,Marshall,Sun Belt,5,54,Albany,home,regular
2023,1,Maryland,Big Ten,6,54,Towson,home,regular
2023,1,Memphis,American Athletic,5,55,Bethune-Cookman,home,regular
2023,1,Miami (OH),Mid-American,5,49,Miami,away,regular
2023,1,Miami,ACC,8,60,Miami (OH),home,regular
2023,1,Minnesota,Big Ten,3,25,Nebraska,home,regular
2023,1,Nebraska,Big Ten,7,55,Minnesota,away,regular
2023,1,Mississippi State,SEC,1,15,Southeastern Louisiana,home,regular
2023,1,Missouri,SEC,7,56,South Dakota,home,regular
2023,1,Notre Dame,FBS Independents,1,10,Navy,home,regular
2023,1,Navy,American Athletic,3,26,Notre Dame,away,regular
2023,1,USC,Pac-12,8,75,Nevada,home,regular
