Defense,Offense,Text
Texas A&M,Alabama,"Jake Coker sacked by Myles Garrett for a loss of 6 yards to the Alab 12 ALABAMA Penalty, Offensive Holding (Cam Robinson) declined"
Texas A&M,Alabama,"Jake Coker pass complete to Calvin Ridley for a loss of 4 yards to the Alab 21 ALABAMA Penalty, Illegal Motion ( Yards) declined"
Alabama,Washington,"Tristan Vizcaino punt for 42 yds, punt out-of-bounds at the Wash 48 ALABAMA Penalty, Running Into Kicker ( Yards) declined"
Alabama,Colorado State,"Nick Stevens pass complete to Warren Jackson for 4 yds for a TD ALABAMA Penalty, Defensive Pass Interference (Anthony Averett) declined, (Wyatt Bryan KICK)"
Alabama,Arkansas State,"Justice Hansen pass incomplete to Kirk Merritt ARKANSAS ST Penalty, Offensive Holding (Cameron Davis) declined"
Arkansas State,Alabama,"Skyler DeLong punt for 39 yds, punt out-of-bounds at the ALABAMA 37 ARKANSAS ST Penalty, Running Into Kicker ( Yards) declined"
LSU,Alabama,"Tua Tagovailoa pass complete to Jerry Jeudy for 29 yds to the LSU 25 for a 1ST down LSU Penalty, Defensive Offside (Breiden Fehoko) declined for a 1ST down"
Alabama,Southern Mississippi,"Jaylond Adams run for 4 yds to the SoMis 26 SOUTHERN MISS Penalty, Illegal Block (Tim Jones) declined"
Alabama,Georgia,"Stetson Bennett run for 9 yds to the ALABAMA 47 ALABAMA Penalty, Defensive Offside ( Yards) declined"
Cincinnati,Alabama,"Bryce Young pass incomplete to Jameson Williams ALABAMA Penalty, Offensive Holding (Chris Owens) declined"
Alabama,Mississippi State,"Will Rogers pass incomplete MISSISSIPPI ST Penalty, Offensive Holding ( Yards) declined"
Appalachian State,Southern Mississippi,"Nick Mullens sacked by John Law for a loss of 8 yards to the AppSt 48 SOUTHERN MISS Penalty, F0 ( Yards) declined"
Southern Mississippi,Appalachian State,"Taylor Lamb pass complete to Malachi Jones for 10 yds for a TD SOUTHERN MISS Penalty, Defensive holding ( Yards) declined, (Zach Matics KICK)"
Appalachian State,Troy,"Dontreal Pruitt run for 10 yds to the TROY 48 for a 1ST down APPALACHIAN ST Penalty, substitution infraction (NA) declined for a 1ST down"
Georgia State,Appalachian State,"Taylor Lamb pass complete to Bobo Beathard for 10 yds to the APPALCHAN 41 for a 1ST down GEORGIA ST Penalty, Defensive offside ( Yards) declined for a 1ST down"
Georgia State,Appalachian State,"Taylor Lamb pass complete to Malachi Jones for 13 yds to the GeoSt 6 for a 1ST down GEORGIA ST Penalty, Defensive offside ( Yards) declined for a 1ST down"
Appalachian State,Louisiana,"Terrance Broadway sacked by Ronald Blair for a loss of 8 yards to the LaLaf 2 UL LAFAYETTE Penalty, Offensive holding ( Yards) declined"
Georgia State,Appalachian State,"Taylor Lamb pass incomplete to Barrett Burns APPALACHIAN ST Penalty, ineligible downfield on pass ( Yards) declined"
Georgia State,Appalachian State,"Taylor Lamb pass complete to Shaedon Meadors for 30 yds for a TD GEORGIA ST Penalty, Defensive pass interference ( Yards) declined, (Zach Matics KICK)"
Appalachian State,Georgia Southern,"Kevin Ellison pass complete to Myles Campbell for 19 yds to the GeoSo 47 for a 1ST down APPALACHIAN ST Penalty, Defensive Offside (Olawale Dada) declined for a 1ST down"
Appalachian State,Georgia Southern,"Favian Upshaw pass intercepted Alex Gray return for no gain to the AppSt 35 GA SOUTHERN Penalty, Illegal Forward Pass (Favian Upshaw) declined"
