Ole Miss;#CE1126;#14213D;(OLE MISS|OLEMISS|OM|OLE|Miss|MIS);OLE MISS;OLEMISS;OM;OLE;Miss;MIS;;
Oregon;#154733;#FEE123;(OREGON|Oregn|ORE);OREGON;Oregn;ORE;;;;;
Oregon State;#DC4405;#000000;(OREGON ST|OREGONST|OSU|OrgSt);OREGON ST;OREGONST;OSU;OrgSt;;;;
Penn State;#041E42;#FFFFFF;(PENN STATE|PENN ST|PENNST|PSU|PnSt);PENN STATE;PENN ST;PENNST;PSU;PnSt;;;
Pittsburgh;#003594;#FFB81C;(PITTSBURGH|UP|PIT);PITTSBURGH;UP;PIT;;;;;
Portland State;#154734;#FFFFFF;(PORTLAND ST|PSU|PrtSt);PORTLAND ST;PSU;PrtSt;;;;;
Prairie View;#330066;#FFCC33;(PRAIRIE VIEW|PVAM|PVU|PraVw);PRAIRIE VIEW;PVAM;PVU;PraVw;;;;
Presbyterian College;#0060A9;#9D2235;(PRESBYTERIAN|PC|Presb);PRESBYTERIAN;PC;Presb;;;;;
Purdue;#CEB888;#000000;(PERDUE|PURDUE|PUR|Prdue);PERDUE;PURDUE;PUR;Prdue;;;;
Rhode Island;#68ABE8;#002147;(RHODE ISLAND|URI);RHODE ISLAND;URI;;;;;;
Rice;#00205B;#C1C6C8;(RICE|Rice|RIC|RCE|RU);RICE;Rice;RIC;RCE;RU;;;
Richmond;#000066;#990000;(RICHMOND|RIC|UR);RICHMOND;RIC;UR;;;;;
Robert Morris;#14234B;#A6192E;(RMU|ROBERT MORRIS);RMU;ROBERT MORRIS;;;;;;
Rutgers;#CC0033;#5F6A72;(RUTGERS|Rutgr|RUT|RU);RUTGERS;Rutgr;RUT;RU;;;;
Sacramento State;#043927;#C4B581;(SACRAMENTO ST|SAC|SSU);SACRAMENTO ST;SAC;SSU;;;;;
Sam Houston State;#f56423;#FFFFFF;(SAM HOUSTON ST|SAMHOUSTON|SHSU);SAM HOUSTON ST;SAMHOUSTON;SHSU;;;;;
Samford;#002649;#C4161D;(SAMFORD|SAM);SAMFORD;SAM;;;;;;
San Diego;#002868;#84BCE8;(SAN DIEGO|USD);SAN DIEGO;USD;;;;;;
San Diego State;#A6192E;#000000;(SAN DIEGO ST|SANDIEGOST|SAN DIEGO|SDSt|SDSU|SDS|SD);SAN DIEGO ST;SANDIEGOST;SAN DIEGO;SDSt;SDSU;SDS;SD;
San José State;#0055A2;#E5A823;(SAN JOSÉ ST|SAN JOSE ST|SJSt|SJSU|SJS|SJ);SAN JOSÉ ST;SAN JOSE ST;SJSt;SJSU;SJS;SJ;;
